Fluid,A,B,C,Pmin,Pmax,Tmin,Tmax,R2
NitrousOxide,-1926.4694605161349,-22.015416036819335,0.22907400205289474,87837.43922598523,7245000.0,182.33000000003187,309.52,0.9999651853820767
Novec649,-2801.4624606541292,-21.36197093132012,37.74158241876963,0.2314533520537144,1869026.583064056,164.99999807647728,441.81,0.9999416183541749
o-Xylene,-4123.609525524086,-21.872862259390413,19.290049941856655,22.80577633570676,3737500.0,247.9849999753808,630.259,0.9999264782816767
OrthoDeuterium,-261.1113710144807,-20.119742595348004,-6.696174001982338,17189.101989626473,1679600.0,18.724000002122487,38.34,0.9999214669219377
OrthoHydrogen,-215.31099620340171,-19.47600642421065,-6.659693824890577,7559.882341104962,1310650.0,14.008000000011139,33.22,0.9999465709916768
Oxygen,-901.8277976770862,-21.115559297224724,-3.8465963518352915,146.27764705809653,5043000.0,54.36100000025022,154.58100000000002,0.9999392415963262
p-Xylene,-4169.049688845419,-21.97490694180276,12.792766489622213,580.08500237559,3531500.0,286.3999999969671,616.168,0.999917221377774
ParaDeuterium,-261.11138897202756,-20.119742837006374,-6.696175255860976,17189.10197754122,1679600.0,18.724000000555836,38.34,0.9999214669219231
ParaHydrogen,-212.28837378503002,-19.43905869791481,-6.512979759102335,7041.086751499288,1285800.0,13.803300000060952,32.938,0.9999458011252771
Propylene,-2168.628044292959,-21.360032198102203,5.133694700790444,0.0007469480313533406,4555000.0,87.9522143307423,364.211,0.9999375524917753
Propyne,-3049.5990146018767,-22.62649573992666,-27.93024205867295,263566.90598815103,5626000.0,272.9999999999309,402.38,0.9999951337264563
R11,-2828.673317855724,-21.447407667105317,11.875431556797777,6.510089834177898,4394000.0,162.67999997067358,471.06,0.9999506331172132
R113,-3006.9303433373902,-21.42144091947145,17.02559476424423,1871.4275472708048,3392200.0,236.9299999984936,487.21,0.9999504150526796
R114,-2834.4551974339824,-21.7294737489619,-1.7019695289224515,88162.3867615531,3257000.0,273.14999999974054,418.83,0.9999773518535646
R115,-2229.594658949725,-21.41315975171552,8.556608292547967,2178.2318283617788,3129036.968278708,173.56999999999795,353.1,0.9999259385425688
R116,-1910.5175640505465,-21.529339392602147,3.9609923488276477,26083.734154671693,3048000.0,173.10000000047506,293.03000000000003,0.9999588607817476
R12,-2327.5515885585387,-21.38709277063384,7.51097815335551,0.2425508006881145,4136100.000000001,116.09901066669332,385.12,0.999936385093245
R123,-2821.0293754753043,-21.56027879750861,20.032172661310018,4.202133802444641,3672000.0,166.0000607061043,456.831,0.9999428665013784
R1233zd(E),-2787.0754637862424,-21.69450523701055,17.50037115583385,273.30758198440174,3623637.7763647954,195.14999997410783,439.6,0.9999388155666585
